t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20180930_0000,94.3433576398544,92.05927461694976,90.35330186115428,89.10704453237189,87.76736319803132,86.82469450113865,86.12369937005752,85.3885958119893,84.53210406457443,84.06529912617835,83.53138014668987,83.07316139430209,82.6159666824474,82.5710664436884,82.11009065909612,81.92749635480956,81.65935527983483,81.45612262018888,85.52829857240872,84.29870159537639,94.3433576398544,81.45612262018888
20180930_0030,94.17502113068254,91.82587214775172,89.96928666124188,89.02110389994021,88.15681369000401,87.16743299033227,86.46635908690244,85.36307357101052,84.56928461316082,83.70263123276362,83.3828154970417,82.75413338206717,82.29827780014037,81.95577562799285,81.39523159464379,80.79427734641165,79.83081274946218,79.25963444903861,85.11599097058826,84.13595792296222,94.17502113068254,79.25963444903861
20180930_0100,94.40424866539948,92.10850733488725,90.3223443281152,88.94619139632654,87.76381844233983,86.91039881652424,86.07549069265315,85.55433283365407,84.6281275576397,83.98999276082115,83.27600019220453,82.70348276185308,81.85683755802569,81.27943624205483,80.62491679670669,80.07335281110942,79.42907377109229,78.75738195372755,84.92799638417415,84.30906015923043,94.40424866539948,78.75738195372755
20180930_0130,94.42370543552838,92.19239988625273,90.63640968238201,89.26821275781205,88.26299881605159,86.98137270270291,86.03697101413886,85.14440153101937,84.31028113063527,83.28828867860173,82.79044743481785,82.21556683400539,81.7902749233742,81.44036815044888,80.87824867012581,80.31920131140207,79.46381237686897,78.70121726910446,84.89689881140403,83.7992849046185,94.42370543552838,78.70121726910446
20180930_0200,94.60598465042013,92.23603976743252,90.2461714669223,89.18502915758488,88.33200339351278,87.63510442456406,86.79389451279697,86.16489730842761,85.54495892415876,85.10147060097788,84.76377354210106,84.45545856928935,84.05364081857074,83.3969945198077,82.89300903282523,82.40698364134634,82.24778472462368,81.91851630705777,86.22120640902332,85.32321476256831,94.60598465042013,81.91851630705777
20180930_0230,94.71004292305281,92.59626571803753,90.83940602498186,89.70642333363004,88.84410243241135,88.33925044959318,87.89072069609549,87.31836081044143,87.13308824629907,86.72748942284288,86.12275410187313,85.59521568262936,84.93604866870793,84.74053569923457,84.69965285025928,84.2326115948171,84.00535336881765,83.37186614057241,87.32273267579427,86.93028883457097,94.71004292305281,83.37186614057241
20180930_0300,94.95754564266815,93.03022258702572,91.59829883235747,90.54456112379783,89.71642742191493,88.87836840409584,88.44126064115966,87.74538571274402,86.92922540786353,86.15985587811082,85.70998699468522,85.42120756435109,84.93935710735332,84.40315372975256,83.74973709728621,83.30223138432163,82.67331295230098,82.00445693948944,87.23358863451547,86.54454064298717,94.95754564266815,82.00445693948944
20180930_0330,95.20615117516529,93.38265007510942,91.87140256530031,90.74157076789649,89.78220233307943,88.81290858232617,87.99958408199886,87.4285633262727,86.82469450113865,86.2583213139858,85.94921861768708,85.38331806462641,84.69799863093658,83.93627001900776,83.26702014445273,82.44061943424124,81.70071076290232,81.0034967045588,87.03815006114922,86.54150790756222,95.20615117516529,81.0034967045588
20180930_0400,95.1573123189713,93.15917292184758,91.9222107302118,90.83688530982347,89.80221050964921,88.98526248128172,88.2460627610811,87.4381735528141,86.6173656793603,85.8377557442766,84.9831545332305,84.29295121392127,83.14326878464506,82.31678930208487,81.49377580286748,80.75552135085125,80.08619270394752,79.27625541461431,86.35279561752664,86.22756071181846,95.1573123189713,79.27625541461431
20180930_0430,95.17968366600209,93.13420208730969,91.69818217050904,90.40332230257877,89.25836621422455,88.39974761339477,87.61320571162547,86.6242976460459,85.8325567692624,84.86594127836494,84.04174619391705,83.004393133887,81.70212866517892,80.50660072895931,79.3654257133427,78.10664358111701,77.3264822395924,76.40137977645983,85.19246141620955,85.34924902381367,95.17968366600209,76.40137977645983
20180930_0500,95.1389583617242,93.23447928720478,91.75852178961324,90.60080458076962,89.4480500298941,88.48135576664794,87.59579702256276,86.95057271436121,86.12637762991334,84.96109827559451,83.8148818296611,82.83904997396574,81.88629841643947,81.14969818374595,80.38513376726395,79.64971511980093,78.50302603977532,77.3178172812354,85.54675755945408,85.54373795275393,95.1389583617242,77.3178172812354
20180930_0530,95.45026668378652,93.72278907679595,92.42414813612807,90.99569036480263,89.85175831698152,88.80054132358026,87.97240762169737,86.90449089037173,85.86138744888659,85.07760257932179,84.49114244325044,83.73169822943392,83.06969541095927,82.07803031317523,80.9882936412597,79.60599646627243,78.85261772330581,78.02275102975152,85.99451709443116,85.46949501410418,95.45026668378652,78.02275102975152
20180930_0600,95.23726625290178,93.21518006177327,91.58498630542718,90.21734078729811,88.44661716087126,87.48260115748089,86.77640705138556,86.31283177928618,85.57560136780307,84.90446095687922,84.10145563423163,83.19195009614165,82.42431355806033,81.82903091893459,80.9374067039995,80.1607113458177,79.45420215032757,78.76116302646514,85.58964035083802,85.24003116234115,95.23726625290178,78.76116302646514
20180930_0630,94.90295640501905,92.2757410311773,90.6954101715583,89.00204099155482,87.95878000537228,86.81807762384786,86.19924205246082,85.75717163155652,85.06570795466808,84.17368987798952,83.49790189849237,82.75003721993475,82.01824210051194,81.19381069901794,80.61459761902698,79.93038099821895,79.17133064614595,78.28364504864587,85.01715355417774,84.6196989163288,94.90295640501905,78.28364504864587
20180930_0700,94.46600618678028,92.38578600231118,90.80001985063187,89.62969906599626,88.648589462938,87.71316782212574,86.97774917466272,85.90439715127678,84.76928760651006,83.85285010173449,82.9593353504306,82.36554938593017,81.86770814214628,81.47967555245017,80.73220473563606,80.01033493214945,79.11831685547087,78.20644814691988,85.1048403070056,84.31106885412228,94.46600618678028,78.20644814691988
20180930_0730,95.49556078428901,93.72318293853945,92.11299735876315,90.51864502107554,88.87821085939845,87.53002211139828,86.81421777876156,85.60821312016486,84.93281900241122,84.44411535107655,83.67498213836994,82.90072872299781,82.27787576182708,81.3887722620504,80.44326776060453,79.29169479495951,78.25922562054886,77.31175181038552,85.31146017764566,84.68846717674388,95.49556078428901,77.31175181038552
20180930_0800,95.32367951942565,93.30427158815296,91.84454119439361,90.73007000498629,89.35643778835602,88.23534972165791,87.54593412583567,86.6556490408285,86.2576123628475,85.73235834171602,85.42168019844331,84.82828809568635,84.27152513507488,83.58077040932476,82.83920751866314,82.41903581069744,82.12812952694841,81.48180240586508,86.77535237716131,85.99498535228176,95.32367951942565,81.48180240586508
20180930_0830,95.47563138006791,93.68269395130766,92.35128371358059,90.90210881454705,89.63970315428116,88.61873474278072,87.91899996927879,87.47700832072319,86.88897273767783,86.40405015908075,85.8913997137413,85.24554522675014,85.0671258569447,84.69910144381838,84.2530924054791,83.77132072083,83.00982842594729,82.22265634538839,87.41773650456805,86.6465114483793,95.47563138006791,82.22265634538839
20180930_0900,95.5829193189973,93.85819874421122,92.54199156978325,91.41515312163003,90.35448344638478,89.55841009042278,88.90215765340325,87.96161580992548,87.11497060609808,86.57364702583182,86.20727683202821,85.92968307520947,85.63334149940015,85.17126290192606,84.43797110787794,83.87285827830428,82.96839417053111,81.7995700605208,87.77132807291588,86.84430881596495,95.5829193189973,81.7995700605208
20180930_0930,95.85775604361152,93.9595787569881,92.7086738596324,91.73528394674673,91.09478597946719,90.3156486784757,89.5144551198482,88.82968709259926,88.56792657786923,88.2657558482561,87.98627155506857,87.59177963277907,87.29685595924633,86.64162756275991,85.73212202466992,84.59102578140201,83.57887987295595,82.65598303558698,88.71800540710906,88.41684121306267,95.85775604361152,82.65598303558698
20180930_1000,95.91352686649111,94.32736685306831,93.0963913599337,92.12670374743695,91.38553471851883,90.59143067127432,90.42143994277977,90.07326616152585,89.42174006542831,88.90089729582404,87.94483729965238,87.11670359776949,86.28746708300478,85.25208333169225,84.46569897462034,83.50404614169098,82.6010787085431,81.89000071682837,88.62890075200461,89.16131868062618,95.91352686649111,81.89000071682837
20180930_1030,95.9325897748765,94.42929827228608,93.31734779803715,92.42950465583966,91.54402468410319,90.54109514045504,89.8806677689544,89.27152119645744,88.07922292653454,87.0239097710009,85.91132911796238,85.18709614401476,84.37219619671346,83.34815566361371,82.5560996974354,82.1764957490502,81.65195067905702,80.81105585668475,87.69242006072649,87.55156634876772,95.9325897748765,80.81105585668475
20180930_1100,95.9086429808717,93.81597676530802,92.18255334266523,90.89809142476335,89.8507342764484,88.80731574556846,88.14515538239642,86.91008372712943,86.02484007243906,85.11557085139518,84.2066954920948,83.55233359144407,83.42590397178058,83.04338544649349,82.41848440425655,82.33002305666646,81.74348414824641,81.18955699218814,86.64271287067533,85.57020546191711,95.9086429808717,81.18955699218814
20180930_1130,95.46011322737402,93.40462756039672,91.54922365911739,90.18157814098832,88.85229475667616,87.74940310252772,86.94986376322292,86.17899755884491,85.46366586030038,85.0501110296255,84.87586659430113,84.49657773531072,84.52028821226942,84.1988970295735,84.01567254649734,83.8437125092853,83.63961335380364,83.4030599906576,86.8796425905985,85.25688844496294,95.46011322737402,83.4030599906576
20180930_1200,95.03883870652653,92.98563743766152,91.63406147866726,90.2891023969638,89.01874072947922,88.01431451120575,87.52561085987108,87.0159537637822,86.54316212688492,86.54851864659652,86.32165428234057,86.01924723568135,85.90187643611839,85.71282279923842,85.4763482084411,85.14597697799337,84.69429633054769,84.5928375454221,87.693277804079,86.54584038674072,95.03883870652653,84.5928375454221
