t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20180930_0000,78.42221661318045,70.88231725986563,65.75112985502058,62.123934526809386,58.42698734800743,56.05123825789923,54.54235792309539,52.61622486020319,50.70764781781395,49.65881433626821,48.3292635907981,47.30986896308211,45.787539488746624,45.790140365405776,44.71449124011364,44.23438248183699,43.66442209280099,43.19328582770079,53.45590349159159,50.18323107704108,78.42221661318045,43.19328582770079
20180930_0030,78.03537057719268,70.41848399327233,64.95850211342021,62.2399466821274,59.576424532639294,56.87552943667937,55.29526560243551,52.46205289186001,50.59608027096621,48.14112975997112,47.51771990973979,46.07588139959902,44.97039391520269,44.23760872264133,42.9645013281816,41.78712126638493,40.06488733666978,38.71430267283337,52.49617791176759,49.36860501546867,78.03537057719268,38.71430267283337
20180930_0100,79.19932769762791,71.59790657851465,66.12793833021786,62.00237204239348,58.41772338266905,55.93803695297087,53.55810458615326,52.43992261129813,50.21976536252994,48.67186908099098,47.076742064303204,45.748741781740826,44.01540084490747,43.05765539978771,41.47375083579014,40.22227158439987,38.9539531817608,37.8050693051039,52.029252867953325,49.445817221760464,79.19932769762791,37.8050693051039
20180930_0130,79.23498870669678,71.95113323466404,67.20828034438907,62.854042381476916,60.04896046161189,56.60203454632347,54.41856398599061,52.4221706443312,50.51318427675925,48.37472563305155,47.62609106317079,46.28910199527529,45.41309316910987,44.78479731154825,44.04043431153323,42.96293928837224,41.540907439714054,40.20354996085578,53.13827770860412,49.443954954905394,79.23498870669678,40.20354996085578
20180930_0200,79.5009040725174,71.68450234856428,65.45984546291389,62.12558414115388,59.51385908856096,57.39361976445297,55.608013642044604,54.42055764319969,52.84261598279243,51.814221293725005,51.2183988055606,50.77319523335554,50.02419346875092,48.643176164149246,47.8483262091158,46.69855111893903,46.58223587526429,46.08764887837714,55.457747177413204,52.32841863825872,79.5009040725174,46.08764887837714
20180930_0230,79.61212798319302,72.47493901314036,66.80558092802337,63.32423982172226,60.99599004120122,59.324544145609615,58.311525246307085,56.993834547902466,56.770297129276514,55.88845138859799,54.46900013180985,53.43307146767848,51.80315391265119,51.53513600064047,51.606875468708346,50.39306071871128,50.26173649981016,49.098638553577715,57.950122388808964,56.32937425893725,79.61212798319302,49.098638553577715
20180930_0300,80.41697258932942,73.90540118086318,69.05162608231389,65.57237874255361,62.985162649458026,60.592891553486396,59.60023127116544,57.78794390900408,55.870471185530135,53.74018909604088,52.70831812636211,52.07582933479723,50.657200298340285,49.70636497106831,48.37797529677898,47.488047167240566,46.15934419648649,44.530910450624134,57.29040322785795,54.80533014078551,80.41697258932942,44.530910450624134
20180930_0330,81.40163866791762,75.05974841833691,70.12057053839784,66.53131193475636,63.63944710588354,60.99863787156446,58.76882688065821,57.358442169164015,55.86301167430175,54.16464133978985,53.69943516903397,52.46590361816151,50.91806285831234,49.20162813058923,47.51928293663931,45.67099356084055,44.18069321799724,42.856905903232764,57.24551011086541,55.013826507045806,81.40163866791762,42.856905903232764
20180930_0400,81.47334478498026,74.69152352697749,70.83165038712504,67.31324200913242,64.12924212532974,61.69020104219749,59.63458115339043,57.84194761900985,55.95201364816058,54.13760733035045,52.19591460081347,50.4720601494795,47.87904620405777,46.21000824275883,44.65366874137175,43.4738244971055,42.759132880180054,41.49138218614478,56.4905772849203,55.04481048925551,81.47334478498026,41.49138218614478
20180930_0430,81.57408996606475,74.53479844918208,69.69156661154649,65.22607844312573,61.82382682799823,59.33792242719439,57.45880417815316,54.998714642736935,52.899074496001006,50.57700123992242,48.79175155580945,46.61156820290751,44.0830396518189,42.253123439447045,40.28699408459373,37.80152938254033,36.58086250696796,34.74794821307219,53.293260795504565,51.73803786796171,81.57408996606475,34.74794821307219
