t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20180930_0000,87.02666293198885,81.79457693781977,77.63981308719845,75.01289836091598,71.86316669849653,69.37566874050755,68.68870039972703,67.59984640277263,65.83493031926682,64.94369589272928,64.08402700399817,63.21747563908493,62.68404237430637,62.602415772866436,61.63582370014932,61.319343360828086,60.762639101668384,60.40285215818477,68.13825438236162,65.38931310599804,87.02666293198885,60.40285215818477
20180930_0030,86.88765858369382,81.33771048870918,76.77027198428522,74.65860713009002,72.72303597391473,70.02392219745265,69.16227299355594,67.20194009307204,65.73253124160392,64.59054985707078,63.97745010685407,62.7716725668171,61.877324923176445,61.187898786174856,60.03840222449441,58.670291579787204,56.55255358446802,55.47776373151703,67.20232544704098,65.16154054933736,86.88765858369382,55.47776373151703
20180930_0100,87.89964577036821,82.88441152241765,78.1708318667136,74.52190327410011,71.51700858622272,69.12077902503916,68.55725575920633,67.73040617944784,66.05909098535308,64.93813682678311,63.588275896900626,62.48392877028518,60.70343875081292,59.37657977948343,58.137510298429305,57.10456303741751,55.73792425250947,54.36350008622862,66.82751059265105,65.4986139060681,87.89964577036821,54.36350008622862
20180930_0130,87.91251708650654,83.32339254112865,79.8251649727066,77.52682024550194,75.01725073524979,72.32958072580239,71.30573076715726,69.9644775164565,68.60736256356783,66.64096598794526,65.64184065580054,64.90028452016824,64.52163760739963,63.92110166004944,63.359135591196726,62.22112014811876,61.26461299336938,59.481001351320394,69.87577764830255,67.62416427575656,87.91251708650654,59.481001351320394
20180930_0200,89.3115856734488,83.58165459673475,78.7433518447058,75.88144913472425,73.31369214969949,71.35423521193775,70.39985786407246,69.2879304021437,68.58737237452594,68.23118137075643,67.92823288188997,67.50175773736086,66.99464391985717,66.02013988789126,65.19384740222559,64.68165425414108,64.69722608128839,64.44267102795759,70.89736021196452,68.40927687264119,89.3115856734488,64.44267102795759
20180930_0230,88.35786295757184,83.32732874290812,78.97900025983931,75.63475089337794,73.17753334677006,72.01428938336174,72.13833038658835,71.36339462214893,71.14060572292753,70.57991139324209,69.69657886469236,68.65525624372192,67.94428081727638,67.81319339737554,68.0249723314187,67.72674283049662,67.29351419425933,66.19688546441692,72.22580176957743,70.86025855808481,88.35786295757184,66.19688546441692
20180930_0300,88.11991713207243,82.79911317581521,79.37679075926525,76.70170329688763,74.30351844852441,71.99791724705165,71.57111684189645,70.43140367412406,68.73672810321078,67.47025786980566,66.56186832939379,66.04597089626498,65.37821003897012,64.17818911685995,62.853148671933425,62.05629562486848,60.898011380149974,59.76037328849701,69.95780743864395,68.10349298650823,88.11991713207243,59.76037328849701
20180930_0330,89.3618591668372,84.56552060929802,80.31433650389356,77.24723930437082,75.07912098814425,72.67617062628628,71.77844550884743,70.67204814358799,69.52252403143545,68.66369117010292,67.84777247205751,66.5847394258591,65.23785629886211,63.78438426413315,62.67310537188736,61.13135531016034,59.707613923084665,58.33032327975438,70.28767257770014,69.09310760076919,89.3618591668372,58.33032327975438
20180930_0400,89.38471202803676,84.75784182416456,81.478403413311,79.1859631029,76.1938780213196,73.94752657661653,73.42504080205175,71.75742509314162,70.15930296823694,68.70299930399314,67.21845108537696,66.21146063461651,64.1287291826382,62.62433065215344,61.129350602440724,59.73979314445232,58.33595907549163,56.95019765258933,70.29618695352951,69.43115113611503,89.38471202803676,56.95019765258933
20180930_0430,89.55199211945114,83.98494854456509,79.58534895253484,76.11331312660293,72.42450280736738,69.86573035534315,68.75544261180622,67.01661811911052,65.81849107509433,64.13949467434388,62.68148297282992,60.750083851492555,58.224781332765275,55.934177277754095,53.948625589523644,51.81044398435702,50.570500871133206,49.07831265997243,65.56968282922486,64.9789928747191,89.55199211945114,49.07831265997243
