t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,mean,median,max,min
20190630_0000,87.7766526833502,83.24476488668027,80.14132710293728,77.63999190562238,75.63955450556868,74.73520769452152,73.32246278132858,71.83077747082368,70.0051015347117,68.44871291370632,67.38501539318699,66.20681706030032,64.72649427386374,64.12480963138863,63.00418108051953,62.29830284813607,61.67063702135168,60.72937398728886,70.71834359862703,69.22690722420901,87.7766526833502,60.72937398728886
20190630_0030,88.77099214764716,84.9936243678095,82.00338156794189,79.15648468498767,77.22012663583133,75.3052205827279,73.44843343900837,71.7287464246405,69.95817160404366,67.70798913902338,66.20287588204974,64.34827426992473,63.69972265731653,62.66755525135539,61.60293915571595,60.06247664382146,58.60213682841625,56.43390635130532,70.2173920907537,68.83308037153353,88.77099214764716,56.43390635130532
20190630_0100,88.62339451022027,84.85129217426626,82.0310632361284,79.77313659425609,77.97155736595856,76.6669048299514,76.24621967298172,74.76154065700968,73.31096252240911,71.96776464511748,70.31164416237017,68.61600374091341,66.36892293928442,65.1576088702051,64.19603020249399,63.6203802984191,62.92074870282296,62.271836521203305,72.75927842477842,72.6393635837633,88.62339451022027,62.271836521203305
20190630_0130,89.32062096132029,85.33704058670094,82.31036734982082,80.18577382213743,78.39246454585684,76.33318611430084,74.95882543391657,72.89577891987533,71.22972530893512,69.14002212841528,67.44456831413352,65.50007093204711,63.835989256938234,62.74890410566427,61.78490191262374,60.80445896052258,59.335881762291464,58.42145239820367,71.11000182298353,70.18487371867519,89.32062096132029,58.42145239820367
20190630_0200,89.69191894307855,86.12032941094189,83.8283782028098,81.9765484739677,79.82207079310997,77.56824959853178,75.4781166316411,73.53780062678264,71.83105530609085,70.0935937372642,68.15747452908842,66.49406234103387,65.04677081948633,63.42952602898633,62.70866098281047,61.6865408632872,61.05744875443268,60.50121436615514,72.16832002274994,70.96232452167752,89.69191894307855,60.50121436615514
20190630_0230,89.58452976370718,85.58643314644773,82.23975959347925,79.65947414493623,77.19878861977135,74.82726813287013,73.3623959689747,71.4832272929041,70.12399147776885,68.70363349900354,67.44404817284334,66.18017008011812,65.01821138762304,63.90188724978623,62.436442527924996,60.87692556721612,61.03083362030145,59.87778686508016,71.08532261726424,69.4138124883862,89.58452976370718,59.87778686508016
20190630_0300,89.27960146389657,85.2218539805065,81.7536707016364,79.12539209369181,76.86548911598625,74.2516118719028,72.50733551517887,70.66664337984875,69.26649061887036,67.61427112945972,65.62236348172412,63.846875586413965,61.556251737117876,61.433834330036504,60.13006571276078,58.91944976778126,56.84560570071259,54.85854941725808,69.43140864471019,68.44038087416504,89.27960146389657,54.85854941725808
20190630_0330,89.10399018852857,85.34151518935407,82.07536437966584,78.27442272586552,75.27868062225971,72.87707969441945,70.95358049983798,68.9335821411293,66.80459437185999,64.8642468088645,64.56164495557856,62.28050327402379,60.42934339560336,58.35113258067944,56.45488473603372,55.17634403525871,53.633174854015955,53.96463092049443,67.74215085408184,65.83442059036224,89.10399018852857,53.633174854015955
20190630_0400,88.02039680806857,83.89100170964028,80.75340100821766,77.59181282141768,74.67697006594948,71.7444000081479,69.28200680318206,68.51296642225134,66.00324261571001,64.0039276458172,61.64380375884145,59.40586192397972,57.90055176594434,56.1345215375562,56.11117169008934,55.577642284192486,54.836079357071924,53.60565850826882,66.64974537413035,65.00358513076361,88.02039680806857,53.60565850826882
20190630_0430,87.77486280192909,83.14523886935507,79.77824393167515,75.88149509559102,74.34040233580646,71.37077472869743,69.60086159067916,67.11671585030466,64.73057113315059,63.66558467263083,61.683416689017555,60.972166948562325,60.21442362854622,58.913401625387706,57.53390401663867,56.19538235033041,54.37938154527133,54.34118016128339,66.75766710971428,64.1980779028907,87.77486280192909,54.34118016128339
20190630_0500,86.32692656269928,82.07231934101321,77.56578601817323,74.23640085019287,71.02056558630879,68.51288147993311,66.74625298848773,63.96220163376619,62.96924848093205,61.86470207576284,60.50831767222829,58.81289267076084,57.06963575003628,54.95041476953782,54.64918028714018,53.85275623363456,53.536841193324214,52.38399940361188,64.50229572208573,62.41697527834745,86.32692656269928,52.38399940361188
20190630_0530,85.42916462704456,79.09024063497819,74.74706934898578,71.40292805032689,68.95440599826091,68.0878051305946,67.0102498767582,65.3583047904363,63.601530146475824,61.4839577280743,58.78765898857111,58.29471614772829,57.06863733064607,56.10594928841219,54.49913262791337,52.99448295829245,51.28118646171078,50.61423058959241,63.600647262489005,62.54274393727506,85.42916462704456,50.61423058959241
20190630_0600,85.01792114695341,79.26254922225566,75.9261219135951,73.36126366209172,71.32126865553732,69.5735794624254,67.12702242273458,64.74308700382018,63.30020305653521,61.33250232932941,60.213866850638155,58.394289350495534,55.985207559595615,54.54317473652534,54.40234371378507,53.522149153835265,52.82910301809757,50.6933201507755,63.97494296716812,62.31635269293231,85.01792114695341,50.6933201507755
20190630_0630,85.76336861393982,80.09204167758267,75.85119561545103,72.18333150461619,68.68763004462292,67.37405215811452,65.52255031954402,63.73638041465372,61.5374492404873,58.54564455104598,56.470419781984795,55.198883247173605,54.46137869948995,54.18376054101163,52.913830775029645,50.71492153603864,48.57655648513286,47.947387414293004,62.20893236778957,60.04154689576664,85.76336861393982,47.947387414293004
20190630_0700,85.16305621907254,79.31366075378077,75.40420204033397,71.44596074602467,68.86356202338423,66.54207783137828,63.900981260955916,61.59081323568883,60.07151820506289,59.22894855482643,58.04761993734546,55.32076848555001,52.71373417762042,49.87309726626324,49.06924580189906,48.32974623999588,47.04076757443077,45.218386319065274,60.95211925959326,59.65023337994466,85.16305621907254,45.218386319065274
20190630_0730,84.56189059659562,78.84934866304519,74.39136212624582,69.99869336665807,66.83226835464954,64.54109780800712,63.31326128317283,61.02565770218854,57.409557515138154,53.92832587077191,50.147123058534326,48.97471134284521,47.43054614446402,45.72353324798918,44.19710720263909,43.54580746982688,42.47539181529449,41.29403202328966,57.70220642174198,55.66894169295503,84.56189059659562,41.29403202328966
20190630_0800,83.3664751299387,76.88817584483797,71.88675804021968,68.10219249475281,64.66493014444707,60.91956798449104,57.826201379019935,54.371751108341236,52.323097980021885,50.334964804807356,48.336341789436894,46.46746270399673,44.91520748513234,43.261939305104775,42.206714203766246,40.99734298586776,40.05102040816326,37.07368619371961,54.666323888114746,51.32903139241462,83.3664751299387,37.07368619371961
20190630_0830,83.41343614661456,76.8324023811397,70.80574665724157,65.28037082340822,60.84317055228221,58.630974777153725,56.08779138190903,52.94469116994477,50.0941486773345,48.46849796772563,46.069147127551055,45.14732226264136,43.7294438353729,41.95845898929203,39.120865275202085,37.16956389630743,35.409668846201356,33.40890681667393,52.52303375466644,49.28132332253007,83.41343614661456,33.40890681667393
